"speaker","text","neg","neu","pos","compound","start_time","end_time","length"
"BIDEN"," My response is Obamacare is working.  The way to build this and get to it immediately is to build on Obamacare.  Go back and do  take back all the things that Trump took away provide a public option meaning every single person in America would be able to buy into that option if they didn't like their employer plan or if they're on Medicaid they'd automatically be in the plan.  ","0.03","0.97","0.0","-0.2755",1595.86,1617.8799999999999,22.019999999999982
"BIDEN","It would take place immediately.  It would move quickly.  And it would insure the vast vast vast majority of Americans.","0.0","1.0","0.0","0.0",1618.25,1625.18,6.930000000000064
"BIDEN","In the meantime what happens?  Did anybody tell you how much their plans cost?  My plan costs $750 billion.  That's what it costs.  Not $30 trillion.","0.0","1.0","0.0","0.0",1625.18,1635.439999,10.25999899999988
"BASH"," Thank you Mr. Vice President.  Senator Gillibrand you support Medicare for All.  How do you feel about Senator Harris continuing to call her health proposal Medicare for All when it includes a far more significant role for private insurance than the bill you co-sponsored?  ","0.0","0.846","0.154","0.7425",1635.439999,1649.589999,14.150000000000091
"GILLIBRAND"," I think for the viewers in the audience right now they're at risk of losing the forest through the trees because the truth is health care in America should be a right.  ","0.13","0.718","0.152","0.2023",1650.67,1659.1100000000001,8.440000000000055
"GILLIBRAND","When I was a young mother and had Theo as an infant he had an allergic reaction to eggs and his whole body turned red and puffy.  I had to rush him to the emergency room.  My heart is palpitating because I'm worried that his throat will close.  I am not worried about not having an insurance card or a credit card in my wallet.  I know whatever they're going to prescribe whether it's an EpiPen or an inhaler I can afford it.","0.111","0.857","0.031","-0.6808",1659.4,1682.27,22.86999999999989
"GILLIBRAND","The truth about health care in America today is people can't afford it.  They cannot afford  and the insurance companies for these plans that rely on insurance companies I'm sorry they're for-profit companies.  They have an obligation to their shareholders.  They pay their CEO millions of dollars.  They have to have quarterly profits.","0.046","0.812","0.142","0.7717",1682.559999,1702.25,19.69000099999994
"GILLIBRAND","They have fat in the system that's real and it should be going to health care.  So let's not lose the forest for the trees.","0.0","0.801","0.199","0.6929",1702.429999,1708.62,6.190000999999938
"GILLIBRAND","And last let's not forget what the Republicans are doing because the truth is the Republicans and Trump their whole goal is to take away your health care.","0.0","0.777","0.223","0.7324",1708.66,1717.01,8.349999999999909
"BASH"," Thank you.  ","0.0","0.286","0.714","0.3612",999999999,0,-999999999
"GILLIBRAND"," To make it harder for you to afford it even if you have pre-existing conditions.  ","0.0","1.0","0.0","0.0",1717.36,1719.5800000000002,2.2200000000002547
"BASH"," Thank you Senator Gillibrand.  Senator Harris your response?  ","0.0","0.737","0.263","0.3612",1726.15,1726.69,0.5399999999999636
"HARRIS"," In response to Senator Biden about the Affordable Care Act it is important that you understand that our Medicare for All plan has actually by the architect of the Obama Affordable Care Act been described as one of the most effective ways to bring health care to all.  Kathleen Sebelius has endorsed our plan as being something that will get us to where we need to go.  ","0.0","0.784","0.216","0.9412",1726.690001,1747.56,20.869999000000007
"HARRIS","In terms of the point that Senator Gillibrand is raising I couldn't agree more.  Senator Biden your plan will keep and allow insurance companies to remain with status quo doing business as usual and that's going to be about jacking up co-pays jacking up deductibles","0.046","0.913","0.041","-0.0541",1748.14,1761.3100000000002,13.170000000000073
"BASH"," Thank you Senator.","0.0","0.444","0.556","0.3612",999999999,0,-999999999
"HARRIS"," It will still be the situation that people going to an emergency room","0.178","0.822","0.0","-0.3818",1761.92,1765.419999,3.499998999999889
"BASH"," Thank you Senator Harris.  Vice President Biden your response?","0.0","0.762","0.238","0.3612",1765.4299990000002,1765.4899990000001,0.05999999999994543
"HARRIS","  have to come out $5000.  ","0.0","1.0","0.0","0.0",1765.66,1767.44,1.7799999999999727
"BIDEN"," My plan makes a limit of co-pay to be $1000 because we further support the  the ability to buy into the Obamacare plan.  ","0.0","0.8","0.2","0.6124",1767.97,1778.54,10.569999999999936
"BIDEN","Secondly the idea that this is somehow a bad idea no one has to keep their private insurance but they - if they like their insurance they should be able to keep it.  Nothing is demanded in my plan that there be private insurance.","0.082","0.807","0.111","0.3397",1808.72,1815.1699999999998,6.449999999999818
"BIDEN","It says if the 160 million who have it say they like their employer insurance they should have a right to have it.  If they don't they can buy into the Biden plan which is Obamacare with -","0.0","0.933","0.067","0.3612",1816.709999,1819.73,3.020001000000093
"BASH"," Thank you Mr. Vice President.  Thank you.  Senator Booker let me bring you in here.  You say you support Medicare for All.  You also say you are not going to pull private health insurance from more than 150 million Americans in exchange for a government plan but that's what Medicare for All would do.","0.0","0.903","0.097","0.5187",1822.84,1825.09,2.25
"BASH","So how do you square that?","0.0","1.0","0.0","0.0",1825.15,1825.4,0.25
"BOOKER"," Well first of all let me just say that the person that's enjoying this debate most right now is Donald Trump as we pit Democrats against each other while he is working right now to take away Americans' healthcare.  There is a court case working through the system that's going to gut the Affordable Care Act and actually gut protections on preexisting conditions.","0.0","0.871","0.129","0.8271",1825.41,1843.03,17.61999999999989
"BOOKER","And so I was raised by two civil rights parents who told me always keep your eyes on the prize.  And that is that in the United States of America every Democrat should stand with the belief that everyone should have access to healthcare that it's a human right.  And how we get there it has to be to end this broken system because we are on our way just a handful of years of literally spending 20 percent of our economy one out of every $5 spent on healthcare.","0.039","0.896","0.065","0.3559",1843.41,1872.79,29.37999999999988
"BOOKER","And we spend more than every other nation on everything from MRIs to insulin drugs multiple mores than other countries - multiple more than other countries.  And so do you want to know what I'm going to do?  I'm going to work to get us to a point where Medicare for All - where everyone is covered.","0.0","0.971","0.029","0.144",1872.82,1888.029999,15.209999000000153
"BOOKER","But this pitting against progressives against moderates saying one is unrealistic and the other doesn't care enough that to me is dividing our party and demoralizing us in face of the real enemy here.  And I'm -","0.147","0.789","0.065","-0.5312",1888.389999,1898.9,10.510001000000102
"BASH"," Thank you Senator.","0.0","0.444","0.556","0.3612",999999999,0,-999999999
"BOOKER"," - going to keep fighting for that.","0.333","0.667","0.0","-0.3612",999999999,0,-999999999
"BASH"," Congressman Gabbard what's your response?","0.0","1.0","0.0","0.0",1900.0700000000002,1903.6000000000001,3.5299999999999727
